"","sex","race","agecat","n","prop"
"1","M","W","18-24",3363,0.105087182051122
"2","M","W","25-34",2575,0.0804637210174364
"3","M","W","35-44",1158,0.0361852384225986
"4","M","W","45+",2044,0.0638710080619961
"5","M","B","18-24",156,0.00487469533154178
"6","M","B","25-34",1099,0.0343416036497719
"7","M","B","35-44",1680,0.0524967189550653
"8","M","B","45+",1851,0.057840134991563
"9","M","H","18-24",616,0.0192487969501906
"10","M","H","25-34",1729,0.0540278732579214
"11","M","H","35-44",857,0.0267795762764827
"12","M","H","45+",1524,0.0476220236235235
"13","M","O","18-24",113,0.00353102931066808
"14","M","O","25-34",450,0.0140616211486782
"15","M","O","35-44",149,0.00465595900256234
"16","M","O","45+",65,0.00203112305480907
"17","F","W","18-24",1717,0.0536528966939566
"18","F","W","25-34",2643,0.0825885882132367
"19","F","W","35-44",1544,0.0482469845634648
"20","F","W","45+",359,0.0112180488719455
"21","F","B","18-24",364,0.0113742891069308
"22","F","B","25-34",731,0.0228423223548528
"23","F","B","35-44",111,0.00346853321667396
"24","F","B","45+",2325,0.0726517092681707
"25","F","H","18-24",532,0.0166239610024373
"26","F","H","25-34",525,0.0164052246734579
"27","F","H","35-44",834,0.0260608711955503
"28","F","H","45+",236,0.00737453909130679
"29","F","O","18-24",223,0.00696831448034498
"30","F","O","25-34",23,0.000718705080932442
"31","F","O","35-44",164,0.00512467970751828
"32","F","O","45+",242,0.00756202737328917
