k,nbprob
0,0.72382653
1,0.12999561
2,0.05927039
3,0.03248355
4,0.01929895
5,0.01199911
6,0.0076815
7,0.00501857
8,0.00332832
9,0.0022329
10,0.00151171
11,0.00103105
12,0.00070754
13,0.00048804
14,0.00033812
15,0.00023514
16,0.00016407
17,0.00011481
18,0.00008055
19,0.00005664
20,0.00003991
21,0.00002818
22,0.00001993
23,0.00001411
24,0.00001001
25,0.00000711
26,0.00000505
27,0.0000036
28,0.00000256
29,0.00000183
30,0.00000131
31,0.00000093
32,0.00000067
33,0.00000048
34,0.00000034
35,0.00000024
36,0.00000018
37,0.00000013
38,0.00000009
39,0.00000006
40,0.00000005
41,0.00000003
42,0.00000002
43,0.00000002
44,0.00000001
45,0.00000001
46,0.00000001
47,0
48,0
49,0
50,0
