k,nbprob
0,0.6367624
1,0.16774029
2,0.08056306
3,0.04451676
4,0.02620761
5,0.0159971
6,0.00999589
7,0.00634922
8,0.00408209
9,0.00264908
10,0.00173189
11,0.00113909
12,0.00075294
13,0.00049978
14,0.00033294
15,0.00022248
16,0.00014907
17,0.00010012
18,0.00006738
19,0.00004544
20,0.00003069
21,0.00002076
22,0.00001407
23,0.00000954
24,0.00000648
25,0.0000044
26,0.000003
27,0.00000204
28,0.00000139
29,0.00000095
30,0.00000065
31,0.00000044
32,0.0000003
33,0.00000021
34,0.00000014
35,0.0000001
36,0.00000007
37,0.00000005
38,0.00000003
39,0.00000002
40,0.00000001
41,0.00000001
42,0.00000001
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
